Time (s),Reconfigurable Path,Generic Path
89,116142.89272629145,58160.52631888745
90,116143.65508727722,52964.23407022086
91,113772.44636919723,44690.387991276235
92,107875.45803640506,42584.65292849401
93,104974.7900105119,36350.98883898326
94,97016.35085263624,42404.967873039335
95,97327.94303651573,43796.57028254348
96,97820.92693382548,42221.639352955804
97,93102.33704951758,39650.999730411204
98,90715.45963664133,43219.99550794393
99,94317.78075266698,38617.59616921064
100,84749.4919194352,43951.654975822305
101,81417.73196549703,44741.83240266015
102,77248.12784385038,42667.722206292536
103,79082.85470787676,40551.586575418565
104,74939.22250223198,40883.83760748895
105,73401.39092205925,39596.84417893265
106,75269.84489021241,39296.798620020505
107,77140.12525336132,42047.49560061317
108,73117.57479625447,40950.50971850776
109,71332.41337018552,50073.6333285678
110,63303.78649777517,42545.85707379838
111,64742.98009254866,41510.61611141696
112,62235.52882382212,39717.465234509546
113,57071.31093833086,40139.10851374172
114,56752.781848016886,39230.383449351866
115,61305.81526215181,41476.147001475714
116,59738.03056448002,33466.56004934554
117,59893.468225691424,30504.95600650153
118,55141.84445169968,32508.43712849351
119,54206.045598336386,32351.334827195107
120,49241.8696265277,37167.89333946767
121,47292.98701235951,36432.10101117136
122,44789.5561454789,34568.82881446197
123,44028.07119436959,35853.183496651756
124,43210.04752756231,31137.54074587448
125,41130.396653335854,32041.357713174748
126,40060.419596184256,27134.735350636412
127,41148.512043862334,25047.459949297143
128,43462.080880892565,26454.04843711944
129,40712.91242123584,31503.085983125635
130,37399.595838188114,28252.72324808617
131,41767.31995969605,25614.846087888243
132,45855.125526259355,25392.185373801807
133,46012.930576100014,24874.140114080998
134,43134.1242006555,25026.424836976206
135,40844.15475179229,24789.7334046884
136,40818.87955530447,21712.0227236894
137,37989.49664537758,24919.096840958562
138,38785.75183908835,24898.81945044205
139,37324.814777917956,23925.81238434695
140,39059.94612138335,22737.397548447796
141,39701.02235562039,23801.560018090913
142,40356.09519259875,21179.465780580085
143,38295.2305986275,21546.224061874545
144,38256.53321350336,21080.052614656317
145,37889.06711844424,22014.140974094127
146,35056.68613284201,20762.611634556608
147,37600.341998326265,20074.949813791725
148,32930.437631889356,18268.023263323405
149,34419.5148582325,17846.357738017043
150,34419.200548576075,17005.61769323327
151,35915.492008851965,18559.338328673846
152,33872.26662734913,16382.328027771315
153,35739.21349169926,15080.121686507788
154,36323.20139248869,14168.160332679436
155,34986.67071173781,14369.410555842544
156,37444.65846628059,14010.833093771467
157,35792.22747322314,13310.560819657732
158,36308.45739139122,13103.528144308
159,36202.250234194515,12644.433033617172
160,34810.55552896848,13849.52325152621
161,34198.015875043115,14352.500273665331
162,33957.41935131213,12651.283337403287
163,34366.8158693892,10384.397158110778
164,33900.52013024386,8602.364049707818
165,32993.22544953991,9344.02096221375
166,28234.680362247713,10318.906940407263
167,28184.063714537377,11591.91085833743
168,25480.15910218928,12178.75579415826
169,22790.344079315833,10203.342324076795
170,19658.73856124411,11457.36217018834
171,21848.119243287,11373.62589913873
172,19804.46043696329,10646.770637265257
173,20623.396273027905,13012.681728089676
174,22278.611276461623,11166.242431621768
175,21742.179520438913,12852.751393086297
176,20653.66455386378,13362.816999496978
177,20621.530978573912,13676.682434108014
178,25886.756322123947,12725.383170100251
179,26647.90923019339,11361.688389770234
180,21943.01250535904,10642.028974085348
181,18447.731503592808,9094.200004828079
182,15114.951309601469,10556.050360162686
183,13434.218716341777,10890.527052550999
184,14809.10026749935,10773.805391154445
185,12899.008798390145,9654.344032028715
186,12120.286481359088,9416.883236916665
187,14861.056579546523,9720.001710203436
188,16582.841157826664,8633.11996371071
189,16301.743708307704,8581.035250478215
190,13956.600111910802,8042.986359424692
191,14846.527210867482,8444.168257623025
