Time (s),Reconfigurable Path,Generic Path
111,10128710.334558912,10128710.334558912
112,9823195.709891293,9823195.709891293
113,9817677.65284082,9817677.65284082
114,9413679.168642184,9413679.168642184
115,8415810.992019303,8415810.992019303
116,8607300.298238255,8607300.298238255
117,8683194.385715859,8683194.385715859
118,8798245.152620776,8798245.152620776
119,8371383.858408291,8371383.858408291
120,7902541.305598195,7902541.305598195
121,8158266.373646046,8158266.373646046
122,7686996.955889741,7686996.955889741
123,7517988.75205841,7517988.75205841
124,6808964.507911423,6808964.507911423
125,6487269.9366000295,6487269.9366000295
126,6472071.755402676,6472071.755402676
127,7119064.916811546,7119064.916811546
128,7099209.019162529,7099209.019162529
129,6706739.249299029,6706739.249299029
130,6284132.716094321,6284132.716094321
131,6025713.646253166,6025713.646253166
132,5938039.946595775,5938039.946595775
133,6212991.204759767,6212991.204759767
134,6100658.254827122,6100658.254827122
135,5761773.956017337,5761773.956017337
136,5320616.809020912,5320616.809020912
137,5599969.200725946,5599969.200725946
138,5037609.314886478,5037609.314886478
139,5262667.3387911,5181254.759489059
140,4937409.308676709,4658708.63596984
141,5015646.809717432,4450545.710092418
142,5018371.102653063,3676596.3909237226
143,4946251.745561242,3536383.9711713945
144,5191848.490536361,3112566.3082533637
145,5519791.406178807,3200820.8288366026
146,5618994.588611349,3640248.4767869753
147,5236967.896316104,3424559.2887316886
148,4955897.324014577,3529612.7824707846
149,4493329.807655043,3789073.585107065
150,4437969.5517016165,3761052.05955081
151,4032480.0521555725,3643051.737160279
152,4224993.819164167,3982224.6839964087
153,3906996.8188843043,3690503.056802753
154,3702396.736284664,3702396.736284664
155,3030545.7962852833,3030545.7962852833
156,3162808.6324045598,3162808.6324045598
157,3158836.5304009034,3158836.5304009034
158,3129086.530611325,3129086.530611325
159,3418606.7735647624,3418606.7735647624
160,3527764.1231283704,3527764.1231283704
161,3367265.7384091225,3367265.7384091225
162,3200263.57752088,3200263.57752088
163,2787421.532307708,2787421.532307708
164,3089715.1597294076,3089715.1597294076
165,3537119.4985145642,3537119.4985145642
166,3688834.61549792,3552932.447916751
167,3538986.058879131,3538986.058879131
168,3908494.7131530833,3638467.2141369544
169,3828787.4303602455,3367342.0779964854
170,3603278.413164842,3362410.0385965635
171,3592854.6238190415,3168675.323289985
172,3286966.3593187896,3286966.3593187896
173,3034176.129104605,3034176.129104605
174,2718783.528490093,2718783.528490093
175,2742294.415092549,2742294.415092549
176,2537981.7223333432,2537981.7223333432
177,2258852.3908699066,2258852.3908699066
178,2312322.4617197616,2312322.4617197616
179,2483999.897274447,2483999.897274447
180,2461013.61986082,2461013.61986082
181,2211804.1304450827,2211804.1304450827
182,1991234.7755868735,1991234.7755868735
183,2022253.9906057846,2022253.9906057846
184,2109495.206766228,2109495.206766228
185,2146596.3090330367,2146596.3090330367
186,2352688.538770785,2352688.538770785
187,2268702.572313804,2268702.572313804
188,1997414.7090816353,1997414.7090816353
189,2101474.186470301,2101474.186470301
190,2229843.4657740938,2229843.4657740938
191,2265376.983810119,2265376.983810119
192,2460980.2430676958,2460980.2430676958
193,2230270.71453813,2230270.71453813
194,2228664.5602923,2228664.5602923
195,1944616.2842534175,1944616.2842534175
196,2201365.4128041463,2201365.4128041463
197,2199825.7623024913,2199825.7623024913
198,1995243.1736627202,1995243.1736627202
199,1964140.6446379593,1964140.6446379593
200,2169456.071928488,2169456.071928488
201,2096052.1504377665,2096052.1504377665
202,2023546.2330625465,2023546.2330625465
203,1788837.2917139,1788837.2917139
204,1956045.5205702211,1956045.5205702211
205,1948123.2446721708,1948123.2446721708
206,1965203.0119900305,1965203.0119900305
207,1954350.6353770944,1954350.6353770944
208,1876533.430450102,1876533.430450102
209,1899042.3639626156,1899042.3639626156
210,2056369.1398031719,2056369.1398031719
211,1758243.7184887426,1758243.7184887426
212,2015352.9220892696,2015352.9220892696
213,1874248.6024884125,1874248.6024884125
214,1851682.401349901,1851682.401349901
215,1829995.0569306728,1829995.0569306728
216,1716453.844597782,1716453.844597782
217,1989439.3544698756,1989439.3544698756
218,2285264.248576949,2285264.248576949
219,2330253.275494417,2330253.275494417
220,1988629.498685748,1988629.498685748
221,1935686.7357318767,1935686.7357318767
222,1996507.3249594555,1996507.3249594555
223,1969206.8111941249,1969206.8111941249
224,1971591.7106294127,1971591.7106294127
225,2097858.246392665,2097858.246392665
226,1956315.0544709235,1956315.0544709235
227,2231400.115804513,2231400.115804513
228,2044852.1292677086,2044852.1292677086
229,1969040.916065448,1969040.916065448
230,2140085.4189012037,2140085.4189012037
231,1983837.189585689,1983837.189585689
232,1814394.9082365439,1814394.9082365439
233,1700636.9511395618,1700636.9511395618
234,1587998.7760509292,1587998.7760509292
235,1460804.257470583,1460804.257470583
236,1746647.7972005117,1746647.7972005117
237,1641555.7679618162,1641555.7679618162
238,1600675.856978712,1600675.856978712
239,1860027.8104002778,1860027.8104002778
240,1908923.3836106716,1908923.3836106716
241,1853715.9632738177,1853715.9632738177
242,8277147.067429588,1710267.208991694
243,8543875.791763248,1624778.5484098415
244,8217708.090991042,1674743.5628567846
245,10093362.442717703,1853071.0039435595
246,9059915.012291947,1773276.0303148492
247,9238886.68163314,1838046.741266445
248,9226363.455826044,1842931.889044062
249,8465879.843367394,1888783.189470164
250,8777246.051349262,1970698.471059354
251,8355027.017842866,1986270.7899477743
252,8949573.250242336,1987191.997826104
253,8874164.389843367,1828670.3799943554
254,8377686.482688507,1743160.0833181033
255,8732425.508328702,1756490.623974086
256,8586275.06357122,1690163.4082473344
257,8152858.542958543,1559275.1062707852
258,7675265.322361956,1389575.035109329
259,8004024.963210559,1329798.3048673547
260,7570897.623989456,1421472.4634146816
261,7627331.536381106,1339585.7978470675
262,8093657.286845069,1455766.0363442427
263,8219094.36599922,1370091.358811912
264,7764299.955185989,1376323.397750352
265,8095494.69433373,1469901.0659386301
266,7843436.463589619,1399515.6085693962
267,7230298.869475273,1293987.576224827
268,6982195.597955516,1390357.1779364513
269,7171967.1328986,1346314.0980787554
270,7399609.912362888,1418946.897369224
271,7515553.207751336,1455491.9166768533
272,7691062.26095856,1552125.2489932198
273,8144565.517690303,1624435.0838493775
274,7861009.028601974,1485205.812393378
275,7192898.614422736,1418515.7582300634
276,7192396.004035011,1418907.3276701286
277,6832450.913521961,1316073.8213861694
278,6828477.75631433,1377858.6998780386
279,6663437.630067008,1520311.2036228576
280,6260666.037101086,1440811.9958604495
281,6058089.148304159,1428606.689107641
282,6510482.082006088,1569902.6714856839
283,6686121.352856291,1655951.0863885407
284,7075065.298793708,1763527.913143891
285,7147525.360362519,1771975.8191487957
286,7798913.460245446,1783641.099125503
287,8031828.094392033,1810561.9503806792
288,8200431.521856162,1864897.8469761822
289,8446713.56545011,1738492.2739231724
290,8313819.4136225395,1766044.8316811768
291,8668260.992875185,1748791.1950981044
292,9266983.515280798,1641797.2288498385
293,9359848.973986749,1753953.3784553034
294,9343305.331179276,1703987.972196412
295,9134863.196703525,1739501.143108137
296,8492257.85414961,1731850.7487205062
297,8724101.056427622,1738746.1007834852
