Time (s),Reconfigurable Path,Generic Path
200,70001102202.3573,239368880.49512622
201,75185222708.9014,386933693.5698985
202,110963226498.9656,833429034.857267
203,108545729942.58827,1262615922.9736319
204,105201352440.55058,2181448697.5152087
205,93476682494.64613,2215937152.715731
206,97886769862.81918,1472816917.5675251
207,115710696506.3227,2763345540.8258023
208,120668520461.7959,2605467337.5434413
209,98390907387.51701,2883849968.661746
210,90344042030.80132,2202870539.7828994
211,55826306035.66298,1148345339.7204683
212,91519685573.9006,1825568495.2315443
213,90110066756.17561,1979941232.233663
214,88591910614.1631,3032317892.4122987
215,70996895107.24588,3599417282.1668906
216,37340722152.27384,2839055009.1717386
217,45232279018.97667,2162606745.1167107
218,29807379028.35102,1314702925.572253
219,25797991644.063686,1050006760.4557478
220,22346876490.3368,735620628.5814602
221,29199341771.666035,1419465724.6803708
222,21859614076.633316,825669511.353818
223,18406270357.23213,575152830.3262862
224,22569704266.13569,504956401.28705215
225,20298051429.658707,515780255.46731085
226,483502522550.223,811849941.0544869
227,493683894172.88477,535377086.2669088
228,460308949589.9829,295896447.1438271
229,506854876938.6214,190196929.8458433
230,493232304112.9306,197634095.84455618
231,481079622793.4529,239660405.5012682
232,488683416280.5214,513781885.8743889
233,485405688035.70844,262010581.38758153
234,478695929501.63245,280734855.31648177
235,478027489746.32635,302487216.1685442
236,442665928319.28424,493826757.22249806
237,432047259693.2659,410563691.42103976
238,393686842775.03394,585696092.7332345
239,403550407915.82965,534978062.3610205
240,422393111861.82477,980752774.7412128
241,395019318063.6116,581720904.3772181
242,241136339015.01367,562040250.3370787
243,132698118744.55702,297143738.2589224
244,125438893305.78264,586510319.9488904
245,116500891915.46555,252305752.766473
246,134326161680.13889,402966423.24474585
247,35624771072.71653,905148240.9815007
248,35358971009.725586,757021197.8686727
249,38245359810.84508,670631410.8072156
250,35253952042.175186,923752829.1171826
251,35069478718.10486,652727400.1996939
252,19605998484.51955,267262760.12560618
253,19167751180.92726,215746059.42952514
254,15261471530.901579,294457495.4991009
255,28571976793.24864,250649286.2045935
256,19680728952.529568,254260319.16112298
257,28759882272.397823,229444275.07404792
258,47008083882.413414,407962958.8433927
259,59058172511.49525,1023104173.6621808
260,58262835069.91505,769824963.6788471
261,72464209775.73792,583471019.6765194
262,99608764177.89192,1290229226.0084321
263,90241570145.15096,2535116597.336596
264,56319122536.74564,1106666129.5824244
265,61876123459.62817,891440133.1896907
266,99066590852.2213,1364472302.7345872
267,82649211504.85881,1456074276.6702714
268,63870682850.73996,759075707.0155029
269,57808895991.75245,347577205.7903091
270,85755889739.30121,284245954.8834324
271,55691441871.37859,149298438.73526326
272,74228897018.36473,151293478.18298483
273,44963100802.175285,210768984.88524875
274,47415364310.850365,273621354.6859867
275,46614490388.72004,428339256.42828095
276,41404913889.43237,334514796.7499418
277,31115517455.91137,280612118.059067
278,12293861378.870348,181213949.15755168
279,24689425766.868767,340275518.8772929
280,15826722234.99003,216443781.43960553
281,32215289733.10695,174682294.06762913
282,18464698333.10154,138070673.50486735
283,18567755666.12859,98293817.53345498
284,24093534136.839108,112158790.73572539
285,20946925533.230568,197768464.74060458
286,44753436406.70803,150246456.22263226
287,69914383043.75284,130130737.16429833
288,76749069042.65013,392896439.62265486
289,93093157400.82372,383150582.0999509
290,137878962012.61136,521035168.72552437
291,101049194350.69664,220241011.28016213
292,89326753192.46405,281546578.34416735
293,84610494235.06476,137708156.0342964
294,118890961618.78922,226162002.87969264
