Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
75,338.4904496252692,75,264.2798534529661,263.0,236.73243077622675,984.0,-192.1667193403046
76,336.1882825811057,76,263.93225945000347,264.0,236.51289700249788,985.0,-195.13967593767478
77,334.80530579162615,77,261.7526743293587,266.0,234.77225359692767,986.0,-189.1263771847386
78,334.35019250398216,78,258.5778328787766,267.0,233.46510313407603,987.0,-198.99973112471037
79,330.2150576849647,79,260.67528266282307,268.0,232.15210089929826,988.0,-191.69012715558216
80,327.3513976208254,80,257.164039934843,269.0,231.0240104728233,989.0,-190.88225074721302
81,324.8294008165486,81,255.3625211207069,270.0,236.38597508368096,990.0,-198.37982939838218
82,323.5702416679966,82,251.14950609092844,271.0,237.02995973343724,991.0,-189.6684112417105
83,317.5081218680309,83,251.13582118347483,279.0,224.8796021306366,992.0,-192.05047551567284
84,313.9283923865217,84,247.62819268259517,280.0,223.7154257827218,993.0,-195.5784939504386
85,318.53592596416973,85,249.82277600520345,282.0,232.90570743904976,994.0,-193.11694036973185
86,320.09636516310934,86,249.03402784343515,283.0,232.84199824438844,995.0,-191.78681367361207
87,319.42641091775283,87,249.90545910931883,290.0,226.53009502546948,996.0,-185.1752559750489
88,319.1260190701985,88,249.60405392574216,291.0,227.73504296393503,997.0,-184.98348921862566
89,314.9229962311621,89,247.70395209152773,294.0,228.9208540280195,998.0,-172.45211121189928
90,316.1704378628984,90,246.30296754750788,295.0,228.2715973802193,999.0,-171.45173087997728
91,319.1839308500008,91,245.091499803592,296.0,225.07813916821857,1000.0,-170.55727519871914
92,317.9140829743092,92,247.31224951811052,297.0,226.87833470565164,1001.0,-176.19228936161295
93,321.4923026508534,93,247.110069950906,299.0,228.3441506381107,1002.0,-169.83200367535215
94,321.63629904090743,94,246.66622749097664,310.0,237.56209039843927,1003.0,-164.44182978059536
95,317.71383888886925,95,246.4446693309377,327.0,250.69915971254923,1004.0,-158.15618482843004
96,315.3700497089776,96,245.67435814557683,333.0,255.5882860369564,1005.0,-155.1454714119316
97,323.57949944757564,97,247.1899161722041,334.0,254.274058316537,1006.0,-165.81194267319717
98,317.1177493642916,98,243.4287259073842,335.0,257.05629726641854,1007.0,-169.19255502941957
99,322.25584670396876,99,241.84975485655178,336.0,258.1992192520137,1008.0,-162.32847584450616
100,322.42606368209954,100,243.50939240268826,347.0,247.23241084081593,1009.0,-159.4495829527168
101,319.28416461770576,101,242.69931312486267,348.0,245.07772635368968,1010.0,-160.21422366166087
102,322.3524284491796,102,242.85402758182204,349.0,244.380839626755,1011.0,-165.30724630441318
103,318.6036883750669,103,240.97263524890755,350.0,245.67161613533793,1012.0,-176.7247449611125
104,315.54072762520644,104,236.9677758663903,360.0,237.70151654413587,1013.0,-175.38573661847568
105,315.25433270691207,105,238.29714765582713,361.0,236.17785575464222,1014.0,-167.48196621697565
106,313.2855141993076,106,236.75599786551703,362.0,232.13726473049746,1015.0,-172.65763532366344
107,312.3200287071277,107,236.69134015584484,363.0,233.30208389596459,1016.0,-174.811216142438
108,314.14404903098773,108,237.17779723339368,366.0,229.08452328595652,1017.0,-174.93099989046738
109,310.8644819104071,109,234.62341478923366,368.0,228.47660077287452,1018.0,-176.73813831424627
110,305.70891145691104,110,231.05715411260613,369.0,230.89144045996835,1019.0,-182.0905519704562
111,307.55361618050495,111,234.05465958927437,370.0,231.19674773903756,1020.0,-186.0223426153833
112,308.91121878468357,112,235.1761738732996,371.0,233.28696556601733,1021.0,-194.25576807364314
113,307.8714637266411,113,235.05962561885195,372.0,228.30903001280632,1022.0,-185.1869671136211
114,306.4199171749227,114,232.03208650268215,373.0,229.54138317146055,1023.0,-180.0228778054013
115,305.5836497675357,115,228.35524123913297,374.0,230.88031760432992,1024.0,-168.35150805895654
116,305.2112690313513,116,228.40832670289728,376.0,227.98920542386165,1025.0,-175.03161208755867
117,305.52913577085303,117,226.48843263263012,377.0,231.8643481604496,1026.0,-171.28720735040804
118,307.6194676047244,118,226.8766583953177,384.0,238.07827812380475,1027.0,-172.01592546421747
119,308.9439786018981,119,225.15061737944995,389.0,230.27555110398572,1028.0,-173.49339672126337
120,308.14483282701445,120,223.31567380702916,390.0,229.3304454447841,1029.0,-165.71715470802053
121,304.2322667503277,121,224.06003899632674,391.0,230.26313380015068,1030.0,-177.90139498926658
122,305.9361744971988,122,221.6060195715795,392.0,229.71156146135394,1031.0,-179.81898931163119
123,302.9275821908283,123,218.4632586280403,393.0,230.09966248680374,1032.0,-174.35765231067762
124,303.5350156497665,124,217.36267896471642,394.0,223.9397919487978,1033.0,-181.94429788183766
