Time (s),Reconfigurable Path,Generic Path
268,12421.694355993941,2575.6133510351765
269,12321.771745495755,2556.439648708495
270,12216.034770668,2537.46512841405
271,12120.361313906444,2518.707580523496
272,12006.81178077989,2500.160960448299
273,11906.351182974924,2481.7990106001803
274,11836.371830603108,2463.6706889711463
275,11736.530860879022,2445.7176495128897
276,11683.012237161483,2427.950374201272
277,11575.895098761304,2410.38662605883
278,11497.704551570605,2393.0312248035116
279,11414.382912865203,2375.8444537562978
280,11340.437078890074,2358.842144025418
281,11274.772481708402,2342.0105683315023
282,11178.196116936488,2325.3800165761013
283,11110.99329906788,2308.920329234839
284,11058.927743311331,2292.607090735988
285,10979.908973082265,2276.4878589509244
286,10889.740246747275,2260.5595706615622
287,10840.116606681731,2244.7401073573437
288,10776.608805223837,2229.0691306930676
289,10692.654597271141,2213.627684329118
290,10629.103751954464,2198.3430623365516
291,10553.94938599199,2183.180778616407
292,10491.223829174567,2168.1591438440423
293,10425.207624142913,2153.351402880416
294,10362.20190373803,2138.61385239532
295,10285.557216191262,2124.085346147302
296,10216.860487368049,2109.686112505397
297,10153.51291928097,2095.43723878897
298,10079.286506341883,2081.307187778717
299,10010.127737255678,2067.371025144173
300,9954.112309467178,2053.512578839694
301,9886.387941482632,2039.8192958653335
302,9839.959158930169,2026.228607004861
303,9763.294151696922,2012.799562901885
304,9705.205345952721,1999.5198340543384
305,9624.874180233797,1986.372847673943
306,9556.426039891106,1973.3735481613433
307,9488.266760736258,1960.5270591033825
308,9420.08326274455,1947.7576372114588
309,9358.044828652399,1935.104076365821
310,9289.161221507147,1922.6181187391644
311,9211.75978118642,1910.264811990518
312,9161.965361930921,1898.0321747102566
313,9098.444029897444,1885.8783247921492
314,9041.576164470074,1873.8576047016925
315,8971.50305710818,1861.9410422343612
316,8908.212020101568,1850.1211079113418
317,8848.966878885903,1838.442532682105
318,8787.39568767069,1826.884069360072
319,8737.845813314974,1815.419085209884
320,8677.059801874648,1804.0911660284714
321,8612.44835048702,1792.8522382032695
322,8556.731526342268,1781.7023714185127
323,8498.48038878131,1770.6651503883504
324,8444.359279736298,1759.7468504048422
325,8388.42151900648,1748.895108734569
326,8329.122058168763,1738.1576506055933
327,8271.23943062056,1727.5072340249894
328,8230.965559254284,1716.9146300029317
329,8170.894393798895,1706.4805169738465
330,8120.53597506572,1696.1108647873352
331,8050.738405980282,1685.8499944101547
332,8018.349931287787,1675.6784055738515
333,7951.272413002417,1665.5944890605087
334,7907.212580044565,1655.5919204333252
335,7858.19688264896,1645.6948545819128
336,7812.385565302384,1635.8486788940904
337,7765.050610245359,1626.113264401439
338,7717.1711673936,1616.4684497171384
339,7665.220064852153,1606.9290636474605
340,7628.31085420532,1597.4724713630667
341,7576.936615253543,1588.1401390196033
342,7525.113611171964,1578.849447729846
343,7472.652572019954,1569.6490419259992
344,7426.258996552868,1560.5320845498902
345,7375.802163567529,1551.464236653391
346,7332.476507218846,1542.4789020920764
347,7292.3066083782805,1533.5834004548935
348,7236.77783226549,1524.7712067444518
349,7187.797117213257,1516.0218691621462
350,7145.625399533304,1507.3431953958714
351,7095.1658058883,1498.7405953187294
352,7053.532710241962,1490.2168817173776
353,7019.9381079081895,1481.733019258732
354,6970.94770538156,1473.3581293925133
355,6930.421264449943,1465.0468731383876
356,6879.591283076215,1456.7889519037788
357,6864.806321881376,1448.5906823080968
358,6811.97813232926,1440.4964364976902
359,6783.6291602845595,1432.4623517343834
360,6739.9654024582405,1424.4871780905632
361,6705.746590420855,1416.5627532044475
362,6667.137752661611,1408.717775074633
363,6622.418777344517,1400.9481184729757
364,6593.468915897357,1393.231558043711
365,6546.073574768021,1385.6016585439422
366,6503.737593418366,1378.0303343163716
367,6462.525718528705,1370.5018894400775
368,6423.811982512207,1363.0403889798035
369,6387.27066101281,1355.636372296178
370,6341.026420629576,1348.2807249542352
371,6310.319331314366,1341.0160791190767
372,6272.381414617112,1333.7786856077332
373,6239.68413359563,1326.6182719038063
374,6204.250643041718,1319.504812359031
375,6168.631561760385,1312.4646974883017
376,6132.701732023838,1305.4492612281376
377,6095.005976314622,1298.5357646168682
378,6065.507755700254,1291.654303279579
379,6029.746915410545,1284.811277571753
380,5990.542241259424,1278.0359500360812
381,5947.85469137763,1271.3214007096733
382,5925.5394994120925,1264.6533077142903
383,5889.977400048129,1258.0386107482848
384,5853.034831261362,1251.4836748089785
385,5823.875621931187,1244.9803908223241
386,5784.745613579118,1238.5267177603907
387,5750.936923253558,1232.118291775901
388,5721.0811621884595,1225.772076190518
389,5684.904341612515,1219.4683829388016
390,5653.796942046171,1213.1872792872696
391,5623.774361275781,1206.997512247237
392,5592.594643884994,1200.8324650880559
393,5564.122132586932,1194.7175450473746
394,5534.011270563264,1188.637632732589
395,5496.539749559416,1182.6652069252652
396,5475.068171047487,1176.6627730159755
397,5434.332326760531,1170.7711473696238
398,5414.968508673116,1164.8753427242516
399,5380.549262768062,1159.0386920721544
400,5348.082950207254,1153.2529630822517
401,5320.054691720206,1147.523233961079
402,5287.610587581798,1141.8094074138385
403,5261.208378889369,1136.160351931464
404,5229.696703142225,1130.5319908221086
405,5203.951918460143,1124.947477762126
406,5172.765220665088,1119.418452125136
407,5146.58945381608,1113.913411924283
408,5124.2998385326755,1108.4454820588119
409,5097.259076310838,1103.0195054796218
410,5076.327098816072,1097.631596943154
411,5045.4418932545195,1092.2873943979541
412,5031.495772310768,1086.964089221898
413,4999.159861355655,1081.7052013803166
414,4985.904407512593,1076.4584447751117
415,4956.21075463916,1071.2680095664377
416,4931.822573900604,1066.1026514437688
417,4913.101487208766,1060.9767815921193
418,4887.758686271042,1055.8835856679166
419,4869.65268267693,1050.822738959217
420,4840.250696779659,1045.7958302672848
421,4826.238326418213,1040.8130308186521
422,4804.495068600834,1035.8648098491246
423,4784.086265010029,1030.951676981193
424,4757.896718331115,1026.0781032235475
425,4743.578410630122,1021.2058292621109
426,4721.859050307165,1016.4039708617532
427,4703.1753129138015,1011.6117941308996
428,4686.063766677431,1006.8664946779631
