Time_p1,Reconfigurable Path,Time_p2,Generic Path,Meaningful_Time,Meaningful,Generic_Sensitivity_Time,Generic_Sensitivity
133,-191.17552378499056,133,-231.03610243881846,293.0,-233.80162940577736,7646.0,-602.3571413018504
134,-191.56523089801678,134,-231.40192408939458,294.0,-233.9424682501415,7776.0,-650.8866627428135
135,-192.16847369797432,135,-232.01170646028572,295.0,-234.94190171512093,7777.0,-652.1978391714811
136,-192.35775512577078,136,-232.24254145279596,296.0,-234.32789067442184,7778.0,-654.1453729723286
137,-193.37173930464027,137,-232.9811490437677,297.0,-234.20952405940437,7779.0,-652.3529757028247
138,-193.75158389997887,138,-233.63341435267586,298.0,-233.84329351535817,7780.0,-653.0218701408141
139,-193.88704888394128,139,-234.0974633510075,327.0,-241.86134857566682,7982.0,-651.0884194359966
140,-195.16085177081453,140,-235.09280550430594,356.0,-243.38679411908953,7983.0,-652.7774817225469
141,-195.8117284938363,141,-235.6629310741785,357.0,-242.74241185346474,7984.0,-655.2290799486397
142,-196.4333941078423,142,-236.2044714588924,363.0,-244.3681738923546,7985.0,-658.7871603914369
143,-196.32852370940793,143,-236.4749016662289,365.0,-244.71744558862636,7986.0,-659.201628248109
144,-197.10577803272054,144,-237.27882000952087,366.0,-244.61189507302157,7987.0,-660.5134472502554
145,-197.99880380368333,145,-237.95184254465622,370.0,-247.55258053422162,7988.0,-661.894645783647
146,-198.0819188427643,146,-238.1472888291992,371.0,-247.5924322875457,7989.0,-664.4245761254379
147,-199.13216778181226,147,-238.88891365855255,372.0,-247.51290587457058,7990.0,-665.7491368867571
148,-199.1391804433098,148,-239.28147529735992,373.0,-246.76042507030533,7991.0,-666.542325873795
149,-199.09719840492397,149,-239.38404592211018,374.0,-247.5021924570523,7992.0,-667.2224108210958
150,-198.71217375218,150,-239.25215742965935,375.0,-247.4291627883902,7993.0,-669.937925343267
151,-198.78934948218688,151,-239.484650104987,376.0,-246.9508183529041,7994.0,-668.6570860115239
152,-199.5967562101003,152,-240.18653757341812,377.0,-247.83025189841266,7995.0,-666.708701369502
153,-200.35016367812253,153,-241.1500304119496,378.0,-248.62885708438426,7996.0,-667.8081619988109
154,-201.33844438132485,154,-242.02865977942255,379.0,-247.6946138881946,7997.0,-663.7515761565191
155,-200.77708408127378,155,-241.90525937188488,380.0,-247.81692111585394,7998.0,-662.7405975202605
156,-201.9865967272819,156,-243.1084805691222,381.0,-247.5888981339326,7999.0,-663.7190193683992
157,-202.8015705893269,157,-243.7247420344766,382.0,-247.77451866685988,,
158,-203.18116384259702,158,-244.37785150703255,383.0,-248.21940267104344,,
159,-204.02343546284604,159,-245.167756862451,384.0,-248.2640091028526,,
160,-203.92286429736657,160,-245.6425559593472,385.0,-247.9539464772168,,
